Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Seccio_censal,Desc_us_desti_principal,Concepte,Nombre
2023,1,Ciutat Vella,1,el Raval,1,Aparcaments,Superfície_m2,3027
2023,1,Ciutat Vella,1,el Raval,1,Oficines,Superfície_m2,14433
2023,1,Ciutat Vella,1,el Raval,1,Religiós,Superfície_m2,688
2023,1,Ciutat Vella,1,el Raval,1,Sanitat,Superfície_m2,2897
2023,1,Ciutat Vella,1,el Raval,1,Espectacles,Superfície_m2,319
2023,1,Ciutat Vella,1,el Raval,1,Habitatge,Superfície_m2,62284
2023,1,Ciutat Vella,1,el Raval,1,Administració Pública,Superfície_m2,11449
2023,1,Ciutat Vella,1,el Raval,1,Ensenyament i cultura,Superfície_m2,26899
2023,1,Ciutat Vella,1,el Raval,1,Magatzem,Superfície_m2,14609
2023,1,Ciutat Vella,1,el Raval,1,Comerç,Superfície_m2,6375
2023,1,Ciutat Vella,1,el Raval,1,Turisme i hostaleria,Superfície_m2,2973
2023,1,Ciutat Vella,1,el Raval,1,Aparcaments,Nombre,98
2023,1,Ciutat Vella,1,el Raval,1,Oficines,Nombre,157
2023,1,Ciutat Vella,1,el Raval,1,Religiós,Nombre,1
2023,1,Ciutat Vella,1,el Raval,1,Sanitat,Nombre,5
2023,1,Ciutat Vella,1,el Raval,1,Espectacles,Nombre,2
2023,1,Ciutat Vella,1,el Raval,1,Habitatge,Nombre,810
2023,1,Ciutat Vella,1,el Raval,1,Administració Pública,Nombre,15
2023,1,Ciutat Vella,1,el Raval,1,Ensenyament i cultura,Nombre,21
2023,1,Ciutat Vella,1,el Raval,1,Magatzem,Nombre,30
2023,1,Ciutat Vella,1,el Raval,1,Comerç,Nombre,53
2023,1,Ciutat Vella,1,el Raval,1,Turisme i hostaleria,Nombre,23
2023,1,Ciutat Vella,1,el Raval,1,Aparcaments,Valor_€,2085314.09
2023,1,Ciutat Vella,1,el Raval,1,Oficines,Valor_€,19477571.05
2023,1,Ciutat Vella,1,el Raval,1,Religiós,Valor_€,976395.84
2023,1,Ciutat Vella,1,el Raval,1,Sanitat,Valor_€,3702630.96
2023,1,Ciutat Vella,1,el Raval,1,Espectacles,Valor_€,379007.09
2023,1,Ciutat Vella,1,el Raval,1,Habitatge,Valor_€,66991397.18
2023,1,Ciutat Vella,1,el Raval,1,Administració Pública,Valor_€,9485613.64
2023,1,Ciutat Vella,1,el Raval,1,Ensenyament i cultura,Valor_€,24542663.44
2023,1,Ciutat Vella,1,el Raval,1,Magatzem,Valor_€,8153377.19
2023,1,Ciutat Vella,1,el Raval,1,Comerç,Valor_€,12041316.85
2023,1,Ciutat Vella,1,el Raval,1,Turisme i hostaleria,Valor_€,4268244.72
2023,1,Ciutat Vella,1,el Raval,2,Magatzem,Superfície_m2,5866
2023,1,Ciutat Vella,1,el Raval,2,Espectacles,Superfície_m2,5802
2023,1,Ciutat Vella,1,el Raval,2,Comerç,Superfície_m2,6059
2023,1,Ciutat Vella,1,el Raval,2,Aparcaments,Superfície_m2,934
2023,1,Ciutat Vella,1,el Raval,2,Oficines,Superfície_m2,925
2023,1,Ciutat Vella,1,el Raval,2,Esportiu,Superfície_m2,1960
2023,1,Ciutat Vella,1,el Raval,2,Habitatge,Superfície_m2,51294
2023,1,Ciutat Vella,1,el Raval,2,Turisme i hostaleria,Superfície_m2,15298
2023,1,Ciutat Vella,1,el Raval,2,Sòl sense edificar,Superfície_m2,9567
2023,1,Ciutat Vella,1,el Raval,2,Ensenyament i cultura,Superfície_m2,9581
2023,1,Ciutat Vella,1,el Raval,2,Magatzem,Nombre,60
2023,1,Ciutat Vella,1,el Raval,2,Espectacles,Nombre,11
2023,1,Ciutat Vella,1,el Raval,2,Comerç,Nombre,65
2023,1,Ciutat Vella,1,el Raval,2,Aparcaments,Nombre,54
2023,1,Ciutat Vella,1,el Raval,2,Oficines,Nombre,10
