,register_id,name,institution_id,institution_name,created,modified,addresses_roadtype_id,addresses_roadtype_name,addresses_road_id,addresses_road_name,addresses_start_street_number,addresses_end_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,addresses_town,addresses_main_address,addresses_type,values_id,values_attribute_id,values_category,values_attribute_name,values_value,values_outstanding,values_description,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_x,geo_epgs_4326_y,DN
0,﻿93334081340,Hotel d'Entitats de Can Guardiola,,,1993-11-30T00:00:00+01:00,2023-02-01T15:33:20.977138+01:00,,,95109,Cuba,2.0,,60,Sant Andreu,9,Sant Andreu,8030,BARCELONA,True,,44289.0,100002.0,Informació d'interès,E-mail,obs-satandreu.benestar@gencat.net,True,,432201.2110196924,4586806.124170551,41.4299594840632,2.188553382391543,1.0
1,﻿92086038702,Bar Marsella,,,1992-03-13T00:00:00+01:00,2022-09-17T04:48:47.605726+02:00,,,308505,C Sant Pau,65.0,,1,el Raval,1,Ciutat Vella,8001,BARCELONA,True,,171898.0,20001.0,Telèfons,Tel.,934427263,True,,430698.3507857741,4581082.246688013,41.3782782040133,2.17122360530803,2.0
2,﻿99400204922,Telefèric de Barcelona,,,2008-04-22T14:37:02+02:00,2021-04-22T14:26:50.786623+02:00,,,224904,Pg Joan Borbó C Barcelona,88.0,,3,la Barceloneta,1,Ciutat Vella,8039,BARCELONA,True,,88784.0,100003.0,Informació d'interès,Web,http://www.telefericodebarcelona.com/ca/,True,,432085.5694125253,4580510.859547395,41.37325014627403,2.187875716121665,1.0
3,﻿92168177308,Universitat Politècnica de Catalunya,,,1985-12-17T00:00:00+01:00,2023-02-01T17:02:45.969422+01:00,,,169023,C Jordi Girona,31.0,,21,Pedralbes,4,Les Corts,8034,BARCELONA,True,,43835.0,100002.0,Informació d'interès,E-mail,informacio-upc@upc.es,True,,426137.5928618464,4582311.29472791,41.3889419870853,2.116537839859507,1.0
4,﻿99400245589,Casa del Guarda -  Espai d'Interpretació del Pantà de Vallvidrera,92086029622.0,Consorci del Parc Natural de la Serra de Collserola,2010-04-20T13:55:00+02:00,2022-08-05T11:07:59.496877+02:00,,,243807,Camí del Pantà,40.0,,22,"Vallvidrera, el Tibidabo i les Planes",5,Sarrià-Sant Gervasi,8017,Barcelona,True,,54515.0,100002.0,Informació d'interès,E-mail,ci@parccollserola.net,True,,424567.0874594975,4585287.165358428,41.415598383773975,2.0973845422401483,1.0
5,﻿95166101521,Torre del Fang,,,1995-06-15T00:00:00+02:00,2022-09-17T05:15:51.576514+02:00,,,81603,Clot,228.0,,61,la Sagrera,9,Sant Andreu,8027,BARCELONA,True,,,,,,,,,432470.90470212896,4585309.272813094,41.41650054695728,2.1919480476112105,1.0
6,﻿96067083304,Casa - Fàbrica Erasme de Gònima,,,1996-03-07T00:00:00+01:00,2022-09-17T05:19:25.047448+02:00,,,67307,Carme,106.0,,1,el Raval,1,Ciutat Vella,8001,BARCELONA,True,,,,,,,,,430324.7813746556,4581292.292561028,41.38013776152318,2.166732403540656,2.0
7,﻿92086030401,Platja de la Nova Mar Bella,,,1989-06-30T00:00:00+02:00,2023-05-02T09:14:55.205685+02:00,,,700768,Pg Marítim de la Mar Bella,128.0,,69,Diagonal Mar i el Front Marítim del Poblenou,10,Sant Martí,8019,BARCELONA,True,,74959.0,100003.0,Informació d'interès,Web,http://barcelona.cat/ca/que-pots-fer-a-bcn/banys-i-platges/platja-de-la-nova-mar-bella,True,,434319.1830894825,4583587.327967793,41.401144617626905,2.2142493854271126,1.0
8,﻿99400265020,"TAMAIA Viure Sense Violencia, S.C.C.L.",,,2011-02-22T12:05:35+01:00,2022-09-20T19:36:26.779398+02:00,,,283109,C Ripoll,25.0,,2,el Barri Gòtic,1,Ciutat Vella,8002,BARCELONA,True,,55111.0,100002.0,Informació d'interès,E-mail,comunicacio@tamaia.org,True,,431029.08640602254,4581881.500955053,41.38550526763556,2.175087497981421,3.0
9,﻿92163150849,Museu Barça Immersive Tour,92086001967.0,Futbol Club Barcelona,1992-06-11T00:00:00+02:00,2023-06-07T12:00:06.358529+02:00,,,100708,Carrer d'Arístides Maillol,12.0,,20,la Maternitat i Sant Ramon,4,Les Corts,8028,Barcelona,True,,43269.0,100002.0,Informació d'interès,E-mail,oab@fcbarcelona.cat,True,,426439.8201641378,4581214.410498125,41.379090515776426,2.120285513558928,1.0
