,name,street,streetNum,neighbourhood,district,zipcode,longLongitude,longLatitude,density
0,Hotel d'Entitats de Can Guardiola,Cuba,2,Sant Andreu,Sant Andreu,8030,41.4299594840632,2.188553382391543,1
1,Bar Marsella,C Sant Pau,65,el Raval,Ciutat Vella,8001,41.3782782040133,2.17122360530803,2
2,Telefèric de Barcelona,Pg Joan Borbó C Barcelona,88,la Barceloneta,Ciutat Vella,8039,41.37325014627403,2.187875716121665,1
3,Universitat Politècnica de Catalunya,C Jordi Girona,31,Pedralbes,Les Corts,8034,41.3889419870853,2.116537839859507,1
4,Casa del Guarda -  Espai d'Interpretació del Pantà de Vallvidrera,Camí del Pantà,40,"Vallvidrera, el Tibidabo i les Planes",Sarrià-Sant Gervasi,8017,41.415598383773975,2.0973845422401483,1
5,Torre del Fang,Clot,228,la Sagrera,Sant Andreu,8027,41.41650054695728,2.1919480476112105,1
6,Casa - Fàbrica Erasme de Gònima,Carme,106,el Raval,Ciutat Vella,8001,41.38013776152318,2.166732403540656,2
7,Platja de la Nova Mar Bella,Pg Marítim de la Mar Bella,128,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,8019,41.401144617626905,2.2142493854271126,1
8,"TAMAIA Viure Sense Violencia, S.C.C.L.",C Ripoll,25,el Barri Gòtic,Ciutat Vella,8002,41.38550526763556,2.175087497981421,3
9,Museu Barça Immersive Tour,Carrer d'Arístides Maillol,12,la Maternitat i Sant Ramon,Les Corts,8028,41.379090515776426,2.120285513558928,1
10,Residència Assistida per a Gent Gran Llars Mundet,Pg Vall d'Hebron,171,Montbau,Horta-Guinardó,8035,41.43575541409688,2.147158169831797,1
11,Observatori Fabra,Ctra Observatori Fabra,27,"Vallvidrera, el Tibidabo i les Planes",Sarrià-Sant Gervasi,8035,41.41877190341054,2.1236452624703155,1
12,Residència Militar d'Estudiants Mateo Calabro,Capità Arenas,52,Sarrià,Sarrià-Sant Gervasi,8034,41.39297332973805,2.12510287048567,1
13,Can Fontanet - Centre d'Interpretació dels Tres Tombs de Sant Andreu,C Sant Adrià,20,Sant Andreu,Sant Andreu,8030,41.433793974354174,2.1908326284827284,1
14,Palau Sant Jordi,Pg Olímpic,5,el Poble-sec,Sants-Montjuïc,8038,41.3620001141372,2.1523962021929672,1
15,Casa Anoll,C Josep Torres,2,la Vila de Gràcia,Gràcia,8012,41.40044227869542,2.1610663164262904,2
16,Casa Barangé,Pl Mons,4,Vallcarca i els Penitents,Gràcia,8023,41.413399023929664,2.144460106814436,1
17,Jardins de Joan Maragall - Palauet Albéniz,Av Estadi,69,el Poble-sec,Sants-Montjuïc,8038,41.3671333000304,2.156511461067073,1
18,Sant Pau Recinte Modernista,Carrer de Sant Antoni Maria Claret,167,el Guinardó,Horta-Guinardó,8025,41.41241647123583,2.1757600481895056,1
19,Palau del Baró de Quadras,Av Diagonal,373,la Dreta de l'Eixample,Eixample,8008,41.396775817125445,2.161339600186852,3
20,Facultat de Dret - UB,Av Diagonal,684,Pedralbes,Les Corts,8034,41.38723971871468,2.1210972500110508,1
21,Cases modernistes del carrer de Sants,C Sants,211,Sants,Sants-Montjuïc,8028,41.37547034603628,2.1327032048740047,1
22,El Rec Comtal,C Oristà,16,Vallbona,Nou Barris,8033,41.46478662529261,2.1857427165784453,1
23,Port Olímpic de Barcelona,Port Olímpic,100,la Vila Olímpica del Poblenou,Sant Martí,8005,41.38772238063312,2.199282061005833,1
24,Escultura Colles Sant Medir,Pl Trilla,1,la Vila de Gràcia,Gràcia,8012,41.40349932760185,2.1524158362950163,1
25,Reial Acadèmia de Medicina de Catalunya,C Carme,47,el Raval,Ciutat Vella,8001,41.38152411821448,2.168974973139409,2
26,"Casal Catòlic de Sant Andreu - Àntic Casino ""El Progrés""",C Pons i Gallarza,58,Sant Andreu,Sant Andreu,8030,41.43555707085925,2.186466964815642,1
27,Institut del Teatre,Pl Margarida Xirgu,1,el Poble-sec,Sants-Montjuïc,8004,41.37067944898099,2.1574493140710094,1
28,Jardins del Palau de Pedralbes,Av Diagonal,686,Pedralbes,Les Corts,8034,41.38654937434819,2.1184352989192647,1
29,"Cooperativa Impulsem, SCCL",C Tàpies,6,el Raval,Ciutat Vella,8001,41.376680258915165,2.171051240900224,2
30,Pont de Calatrava (Bac de Roda - Felip II),Carrer de Felip II,2,la Sagrera,Sant Andreu,8027,41.416166339580734,2.1924102551677853,1
31,Associació Eix Comercial de Maragall,Rambla de la Muntanya,5,el Guinardó,Horta-Guinardó,8041,41.42197707927703,2.178470250568916,1
32,Edifici de l'Antic Hospital de la Santa Creu,C Hospital,56,el Raval,Ciutat Vella,8001,41.38108881941956,2.169811468590316,3
33,Parc de la Font del Racó,Av Tibidabo,72,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,8035,41.41609393601731,2.130839745769486,1
34,Pavellons d'Entrada de l'Antiga Finca Güell,Avinguda de Pedralbes,7,Pedralbes,Les Corts,8034,41.38849058797558,2.120859299130536,1
35,El passatge d'Antoni Gassol,Ptge Antoni Gassol,1,Sant Martí de Provençals,Sant Martí,8018,41.41275610120803,2.195583895314642,1
